days,time,activity,required_location,student
0,,,,
*,0400,Wake Up,Residence,*
*,0430,Meditation,,*
*,0555,Chanting,,*
*,0630,Breakfast,Dining Hall,*
*,0715,Rest,,*
5-10,0800,Aditthana Sitting,Dhamma Hall,*
1-4,0800,Group Sitting,Dhamma Hall,*
*,0900,Short Break,,*
1-8,0915,Instructions,Dhamma Hall,*
9,0915,Bhanga Instructions,Dhamma Hall,*
10,0915,Metta Instructions,Dhamma Hall,*
1,0920,Meditation,Room,new
1,0950,Meditation,,old
2-8,0930,Meditation,,*
9,1005,Meditation,,*
"2,6",0930,Checkin,Dhamma Hall,old
"3,5,7",0930,Checkin,Dhamma Hall,new
*,1100,Lunch,Dining Hall,*
*,1145,Rest,,*
"1-3,5-9",1200,Interviews,Dhamma Hall,*
1-9,1300,Meditation,,*
10,1300,Student Meeting,Male Dining Room,*
4,1400,Group Sitting,Dhamma Hall,*
4,1530,Vipassana Teaching,Dhamma Hall,*
5-10,1430,Aditthana Sitting,Dhamma Hall,*
1-3,1430,Group Sitting,Dhamma Hall,*
"1-3,5-9",1530,Short Break,,*
10,1530,Clean Up,,*
1,1545,Instructions and Checkin,,new
1,1545,Instructions,,old
2-8,1545,Instructions,,*
9,1545,Bhanga Instructions,,*
1-8,1600,Meditation,,*
9,1617,Meditation,,*
1-9,1700,Tea,Dining Hall,*
10,1630,Valuables/Food,Dining Hall,*
10,1700,Clean Up,,*
1-9,1730,Rest,,*
1-3,1800,Group Sitting,Dhamma Hall,*
4-10,1800,Aditthana Sitting,Dhamma Hall,*
*,1900,Short Break,,*
*,1915,Discourse,,*
*,2015,Short Break,,*
*,2030,Group Sitting,Dhamma Hall,*
*,2100,Questions or Rest,,*
*,2130,Wind Down,,*
*,2200,Lights Out,,*
